Empresa,Unidad,Anio,Produccion
Cerro Colorado,Miles TM,1980,0.0
Centinela (Oxidos),Miles TM,1980,0.0
Quebrada Blanca,Miles TM,1980,0.0
Lomas Bayas,Miles TM,1980,0.0
Michilla,Miles TM,1980,0.0
Spence,Miles TM,1980,0.0
Centinela (Súlfuros),Miles TM,1980,0.0
Caserones,Miles TM,1980,0.0
Sierra Gorda,Miles TM,1980,0.0
Antucoya,Miles TM,1980,0.0
Andacollo,Miles TM,1980,0.0
Punta del Cobre,Miles TM,1980,0.0
Las Cenizas,Miles TM,1980,0.0
Chuquicamata,Miles TM,1981,472.4
Radomiro Tomic,Miles TM,1981,0.0
Ministro Hales,Miles TM,1981,0.0
Salvador,Miles TM,1981,76.5
Andina,Miles TM,1981,52.8
El Teniente,Miles TM,1981,291.9
Gaby,Miles TM,1981,0.0
Escondida,Miles TM,1981,0.0
Collahuasi,Miles TM,1981,0.0
Los Pelambres,Miles TM,1981,0.0
Anglo American Sur,Miles TM,1981,39.1
El Abra,Miles TM,1981,0.0
Candelaria,Miles TM,1981,0.0
Mantos Copper,Miles TM,1981,31.7
Zaldívar,Miles TM,1981,0.0
Cerro Colorado,Miles TM,1981,0.0
Centinela (Oxidos),Miles TM,1981,0.0
Quebrada Blanca,Miles TM,1981,0.0
Lomas Bayas,Miles TM,1981,0.0
Michilla,Miles TM,1981,0.0
Spence,Miles TM,1981,0.0
Centinela (Súlfuros),Miles TM,1981,0.0
Caserones,Miles TM,1981,0.0
Sierra Gorda,Miles TM,1981,0.0
Antucoya,Miles TM,1981,0.0
Andacollo,Miles TM,1981,0.0
Punta del Cobre,Miles TM,1981,0.0
Las Cenizas,Miles TM,1981,0.0
Chuquicamata,Miles TM,1982,552.8
Radomiro Tomic,Miles TM,1982,0.0
Ministro Hales,Miles TM,1982,0.0
Salvador,Miles TM,1982,89.8
Andina,Miles TM,1982,54.4
El Teniente,Miles TM,1982,335.9
Gaby,Miles TM,1982,0.0
Escondida,Miles TM,1982,0.0
Collahuasi,Miles TM,1982,0.0
Los Pelambres,Miles TM,1982,0.0
Anglo American Sur,Miles TM,1982,42.5
El Abra,Miles TM,1982,0.0
Candelaria,Miles TM,1982,0.0
Mantos Copper,Miles TM,1982,57.0
Zaldívar,Miles TM,1982,0.0
Cerro Colorado,Miles TM,1982,0.0
Centinela (Oxidos),Miles TM,1982,0.0
Quebrada Blanca,Miles TM,1982,0.0
Lomas Bayas,Miles TM,1982,0.0
Michilla,Miles TM,1982,0.0
Spence,Miles TM,1982,0.0
Centinela (Súlfuros),Miles TM,1982,0.0
Caserones,Miles TM,1982,0.0
Sierra Gorda,Miles TM,1982,0.0
Antucoya,Miles TM,1982,0.0
Andacollo,Miles TM,1982,0.0
Punta del Cobre,Miles TM,1982,0.0
Las Cenizas,Miles TM,1982,0.0
Chuquicamata,Miles TM,1983,558.8
Radomiro Tomic,Miles TM,1983,0.0
Ministro Hales,Miles TM,1983,0.0
Salvador,Miles TM,1983,87.0
Andina,Miles TM,1983,61.4
El Teniente,Miles TM,1983,304.9
Gaby,Miles TM,1983,0.0
Escondida,Miles TM,1983,0.0
Collahuasi,Miles TM,1983,0.0
Los Pelambres,Miles TM,1983,0.0
Anglo American Sur,Miles TM,1983,55.8
El Abra,Miles TM,1983,0.0
Candelaria,Miles TM,1983,0.0
Mantos Copper,Miles TM,1983,33.9
Zaldívar,Miles TM,1983,0.0
Cerro Colorado,Miles TM,1983,0.0
Centinela (Oxidos),Miles TM,1983,0.0
Quebrada Blanca,Miles TM,1983,0.0
Lomas Bayas,Miles TM,1983,0.0
Michilla,Miles TM,1983,0.0
Spence,Miles TM,1983,0.0
Centinela (Súlfuros),Miles TM,1983,0.0
Caserones,Miles TM,1983,0.0
Sierra Gorda,Miles TM,1983,0.0
Antucoya,Miles TM,1983,0.0
Andacollo,Miles TM,1983,0.0
Punta del Cobre,Miles TM,1983,0.0
Las Cenizas,Miles TM,1983,0.0
Chuquicamata,Miles TM,1984,563.0
Radomiro Tomic,Miles TM,1984,0.0
Ministro Hales,Miles TM,1984,0.0
Salvador,Miles TM,1984,96.3
Andina,Miles TM,1984,105.1
El Teniente,Miles TM,1984,285.4
Gaby,Miles TM,1984,0.0
Escondida,Miles TM,1984,0.0
Collahuasi,Miles TM,1984,0.0
Los Pelambres,Miles TM,1984,0.0
Anglo American Sur,Miles TM,1984,61.6
El Abra,Miles TM,1984,0.0
