ML,Stat,α_sm_s,α_sm_l,α_sm_mid,α_lc,MAPE,Skill,WR,WR_Focus,M50,Label
LGB,ARIMA,0.7,0.7,0.7,0.5,20.85,21.29,61.8,64.0,24,LGB+ARIMA SM=0.7/0.7 LC=0.5
LGB,ARIMA,0.7,0.7,0.7,0.6,20.95,20.23,60.9,62.6,23,LGB+ARIMA SM=0.7/0.7 LC=0.6
LGB,ARIMA,0.7,0.7,0.7,0.7,21.08,18.87,60.2,61.9,22,LGB+ARIMA SM=0.7/0.7 LC=0.7
LGB,ARIMA,0.7,0.8,0.75,0.2,20.97,21.0,62.2,63.4,24,LGB+ARIMA SM=0.7/0.8 LC=0.2
LGB,ARIMA,0.7,0.8,0.75,0.3,20.85,21.59,61.7,63.2,23,LGB+ARIMA SM=0.7/0.8 LC=0.3
LGB,ARIMA,0.7,0.8,0.75,0.4,20.8,21.71,61.8,63.8,23,LGB+ARIMA SM=0.7/0.8 LC=0.4
LGB,ARIMA,0.7,0.8,0.75,0.5,20.83,21.11,61.7,64.0,23,LGB+ARIMA SM=0.7/0.8 LC=0.5
LGB,ARIMA,0.7,0.8,0.75,0.6,20.93,20.06,60.9,62.6,22,LGB+ARIMA SM=0.7/0.8 LC=0.6
LGB,ARIMA,0.7,0.8,0.75,0.7,21.06,18.69,60.2,61.9,22,LGB+ARIMA SM=0.7/0.8 LC=0.7
LGB,ARIMA,0.7,0.9,0.8,0.2,21.04,20.69,62.1,63.0,24,LGB+ARIMA SM=0.7/0.9 LC=0.2
LGB,ARIMA,0.7,0.9,0.8,0.3,20.92,21.27,61.6,62.8,23,LGB+ARIMA SM=0.7/0.9 LC=0.3
LGB,ARIMA,0.7,0.9,0.8,0.4,20.87,21.4,61.7,63.4,23,LGB+ARIMA SM=0.7/0.9 LC=0.4
LGB,ARIMA,0.7,0.9,0.8,0.5,20.9,20.8,61.6,63.6,23,LGB+ARIMA SM=0.7/0.9 LC=0.5
LGB,ARIMA,0.7,0.9,0.8,0.6,21.0,19.75,60.8,62.1,22,LGB+ARIMA SM=0.7/0.9 LC=0.6
LGB,ARIMA,0.7,0.9,0.8,0.7,21.13,18.38,60.0,61.5,22,LGB+ARIMA SM=0.7/0.9 LC=0.7
LGB,ARIMA,0.7,1.0,0.85,0.2,21.17,20.3,61.6,61.3,24,LGB+ARIMA SM=0.7/1.0 LC=0.2
LGB,ARIMA,0.7,1.0,0.85,0.3,21.05,20.89,61.1,61.1,23,LGB+ARIMA SM=0.7/1.0 LC=0.3
LGB,ARIMA,0.7,1.0,0.85,0.4,21.0,21.01,61.2,61.7,23,LGB+ARIMA SM=0.7/1.0 LC=0.4
LGB,ARIMA,0.7,1.0,0.85,0.5,21.03,20.41,61.1,61.9,23,LGB+ARIMA SM=0.7/1.0 LC=0.5
LGB,ARIMA,0.7,1.0,0.85,0.6,21.13,19.36,60.3,60.5,22,LGB+ARIMA SM=0.7/1.0 LC=0.6
LGB,ARIMA,0.7,1.0,0.85,0.7,21.26,17.99,59.5,59.9,22,LGB+ARIMA SM=0.7/1.0 LC=0.7
LGB,SARIMAX,0.3,0.5,0.4,0.2,23.35,3.87,60.1,59.5,20,LGB+SARIMAX SM=0.3/0.5 LC=0.2
LGB,SARIMAX,0.3,0.5,0.4,0.3,22.91,7.0,60.3,60.3,21,LGB+SARIMAX SM=0.3/0.5 LC=0.3
LGB,SARIMAX,0.3,0.5,0.4,0.4,22.54,9.61,60.2,60.5,21,LGB+SARIMAX SM=0.3/0.5 LC=0.4
LGB,SARIMAX,0.3,0.5,0.4,0.5,22.27,11.59,60.5,61.1,21,LGB+SARIMAX SM=0.3/0.5 LC=0.5
LGB,SARIMAX,0.3,0.5,0.4,0.6,22.05,13.1,60.6,61.1,23,LGB+SARIMAX SM=0.3/0.5 LC=0.6
LGB,SARIMAX,0.3,0.5,0.4,0.7,21.91,13.91,60.2,60.9,21,LGB+SARIMAX SM=0.3/0.5 LC=0.7
LGB,SARIMAX,0.3,0.6,0.45,0.2,23.14,4.1,60.2,59.9,20,LGB+SARIMAX SM=0.3/0.6 LC=0.2
LGB,SARIMAX,0.3,0.6,0.45,0.3,22.71,7.22,60.4,60.7,21,LGB+SARIMAX SM=0.3/0.6 LC=0.3
LGB,SARIMAX,0.3,0.6,0.45,0.4,22.34,9.84,60.3,60.9,21,LGB+SARIMAX SM=0.3/0.6 LC=0.4
LGB,SARIMAX,0.3,0.6,0.45,0.5,22.06,11.81,60.7,61.5,21,LGB+SARIMAX SM=0.3/0.6 LC=0.5
LGB,SARIMAX,0.3,0.6,0.45,0.6,21.84,13.33,60.7,61.5,23,LGB+SARIMAX SM=0.3/0.6 LC=0.6
