Origin,Horizonte,Mine,Segment,Actual,Pred,Naive
2018-07-01,6,el teniente,LC,32.994,41.40323410731444,43.4
2018-07-01,6,escondida,LC,91.845,84.7140122473993,81.4
2018-07-01,6,franke,SM,1.793,1.106094464478455,1.7
2018-07-01,6,gabriela mistral,LC,6.053,9.224640791996656,11.5
2018-07-01,6,lomas bayas,SM,6.839,5.666710207097872,6.5
2018-07-01,6,los bronces,LC,30.232,27.856927084152865,28.21
2018-07-01,6,los pelambres,LC,30.455,26.69234779620607,29.4
2018-07-01,6,mantos blancos,SM,3.31,3.4589594628538194,4.053
2018-07-01,6,mantoverde,SM,3.566,3.164474784893674,3.908
2018-07-01,6,ministro hales,LC,6.951,13.987596511961591,16.7
2018-07-01,6,ojos del salado,SM,2.601,2.5024527179918175,2.6
2018-07-01,6,otros,LC,13.72075,12.268248350660897,11.347
2018-07-01,6,radomiro tomic,LC,22.082,22.984160746815355,28.572
2018-07-01,6,salvador,SM,4.176,4.341348739113428,5.9
2018-07-01,6,sierra gorda,SM,9.557,13.50499463011914,7.2
2018-07-01,6,zaldivar,SM,8.302,7.65840034401159,8.4
2018-07-01,9,andacollo,SM,5.7,3.508090741420932,6.4
2018-07-01,9,andina,LC,11.828,15.850555975576249,17.8
2018-07-01,9,antucoya,SM,6.8,5.534671328029381,7.0
2018-07-01,9,atacama kozan,SM,0.8,1.0906201888009128,0.8
2018-07-01,9,candelaria,LC,8.1,9.854974400030777,11.4
2018-07-01,9,caserones,LC,12.375,10.363336786992923,10.1
2018-07-01,9,centinela_oxidos,SM,6.4,7.813697866304538,4.3
2018-07-01,9,centinela_sulfuros,LC,15.3,14.224308916708306,17.7
2018-07-01,9,cerro colorado,SM,8.113,6.057860756545388,4.8
2018-07-01,9,chuquicamata,LC,28.102,25.445280929714,27.108
2018-07-01,9,collahuasi,LC,37.052,56.47676176018849,41.1
2018-07-01,9,el abra,SM,6.704,6.396869745455837,6.8
2018-07-01,9,el soldado,SM,4.53,3.2962924181681617,3.734
2018-07-01,9,el teniente,LC,34.684,39.19698531411786,43.4
2018-07-01,9,escondida,LC,92.115,82.36462240205034,81.4
2018-07-01,9,franke,SM,1.604,1.1108807952018929,1.7
2018-07-01,9,gabriela mistral,LC,8.152,9.201467545032175,11.5
2018-07-01,9,lomas bayas,SM,6.66,5.605539253753611,6.5
2018-07-01,9,los bronces,LC,30.698,27.196501874876866,28.21
2018-07-01,9,los pelambres,LC,33.313,27.788502055868246,29.4
2018-07-01,9,mantos blancos,SM,3.253,3.612574519031631,4.053
2018-07-01,9,mantoverde,SM,3.765,3.7541734326974505,3.908
2018-07-01,9,ministro hales,LC,12.258,13.791736155919848,16.7
2018-07-01,9,ojos del salado,SM,2.334,2.38148500184819,2.6
2018-07-01,9,otros,LC,12.201237,11.923607252888193,11.347
2018-07-01,9,radomiro tomic,LC,21.678,23.390423157147392,28.572
2018-07-01,9,salvador,SM,2.753,5.0991831733345805,5.9
2018-07-01,9,sierra gorda,SM,8.44,13.149176058963205,7.2
2018-07-01,9,zaldivar,SM,9.616,7.8599037235138205,8.4
2018-07-01,12,andacollo,SM,5.4,3.3742275996191005,6.4
2018-07-01,12,andina,LC,14.04,15.953874851277735,17.8
2018-07-01,12,antucoya,SM,6.0,5.870646052199281,7.0
