Mine,Origin,Segment,LGB_bc,RF_bc,XGB_bc,ARIMA,SARIMAX,RollingMean,Naive,H_norm
andina,2019-01-01,LC,-0.022148513528498726,-0.3458827179037277,-0.20911152390907034,0.19583071361371635,-0.04468016266077203,0.36064223524920014,0.5845943905923131,-0.35418773450741553
andina,2019-07-01,LC,-0.1155492400398839,-0.29496117383298776,-0.204526714278516,0.3147219598526187,0.02226541780015438,0.2859787807433143,0.5289396401593588,-0.3587714539644707
andina,2020-01-01,LC,-0.0471604487969004,-0.3821420106954428,-0.2230216696540721,0.1946786214719503,-0.008954688882346256,0.4127077936095895,0.5277666229047285,-0.34505021674654207
andina,2020-07-01,LC,-0.10119690195292304,-0.3309685361527196,-0.1908422370749471,0.2256075545119123,-0.16786418448091392,0.4465084141657561,0.5414341568142113,-0.2667726081015901
andina,2020-10-01,LC,-0.03409077373686042,-0.1913145001282613,-0.07101403565663408,0.10889411660089153,0.05135344817291581,0.3522907887191135,0.378324147067462,-0.21002521942567481
andina,2021-04-01,LC,0.1117629975921771,-0.22649800033089795,-0.07834448252875123,0.11875242359929575,-0.17432099003628826,0.22271303437464093,0.5092279928845812,-0.16852544656560536
antucoya,2018-01-01,SM,-0.12468589256994113,-0.0954894454424739,0.005414328881860522,0.11372401878493492,0.017026292518252266,0.006540598736830839,0.04038350957049915,0.24335195780299113
antucoya,2018-07-01,SM,-0.1362964986475647,-0.09997335222098049,-0.013176367767995243,0.14277221349892796,0.07721068711433927,0.05481409757051573,0.030935398703422885,0.23755477123388644
antucoya,2019-01-01,SM,-0.06656286413512029,-0.05079982244196505,0.01285002573256566,0.09126507437503767,0.051461388799756674,0.04947303626070429,0.030816994825171126,0.19032081478394766
antucoya,2019-07-01,SM,-0.08066077516082122,-0.0635332603617612,-0.06414537449111794,0.11116964038978656,0.04804873137982767,0.06426833181603546,0.03277299667112481,0.22312738149867084
antucoya,2020-01-01,SM,-0.11296196379356356,-0.09018132804411977,-0.022977554023882817,0.12415304167115632,0.0559627638678835,0.05823426455966153,0.044145642209976556,0.2159979030793722
antucoya,2020-07-01,SM,-0.1169661190326982,-0.08610491432377516,-0.005902203630507019,0.10877598602406983,0.060245538516541956,0.06736267600139305,0.0458064558679372,0.23215320453753063
antucoya,2020-10-01,SM,-0.1118549533765775,-0.11149852694046812,-0.03384777509846735,0.09927377156407666,0.07248246566388108,0.08220340836673742,0.10722193783780368,0.20350920081118162
antucoya,2021-04-01,SM,-0.10536315716115247,-0.11318601124092478,-0.03095854793034722,0.055711030570508684,0.05060946785123511,0.05278193205430386,-0.035093081206811226,0.2497500453724238
atacama kozan,2018-01-01,SM,0.009716998097576503,-0.017820318935187925,-0.009418326557642631,-0.0007413914858861498,-0.0028439582598729666,-0.015634496635203995,0.00029050036215157957,-0.027473597238581633
atacama kozan,2018-07-01,SM,0.014428154879139388,-0.01680801911153462,-0.006631468426628866,0.00030459730296627835,-0.001644694141162509,-0.01642626605659811,0.0013102623772618999,-0.028548116397270347
atacama kozan,2019-01-01,SM,0.010189962518380552,-0.01788848912600693,-0.0037744640511819935,-0.0010568251743134096,-0.0029979587119812216,-0.01496799931296861,0.004117018156168947,-0.024519734825538046
atacama kozan,2019-07-01,SM,0.01350411093847342,-0.014852889100920497,-0.003779154692109814,-0.0004136590017316735,-0.002583409201673556,-0.011168903920657986,0.0010979716578919203,-0.02346154271437889
atacama kozan,2020-01-01,SM,0.008388551261329896,-0.014234363231655344,-0.00767867095784626,0.0010930278653665552,-0.004555790574060574,-0.0166350069435389,0.003236755645733413,-0.023356161498719486
atacama kozan,2020-07-01,SM,0.012332650678365155,-0.012822055820037141,-0.009050616741364472,-0.000986987068196013,0.000745720888192353,-0.014881592665364245,0.0009648672028882854,-0.035290347278998095
atacama kozan,2020-10-01,SM,0.00215087452421751,-0.02009516645917175,-0.008579316916644916,-0.0013033917019042943,-0.0026297102596143447,-0.01609773565236447,-0.004982616405887016,-0.026650572454369404
atacama kozan,2021-04-01,SM,-0.004344051398025478,-0.025200338210880472,-0.010833373338019054,-0.0015570420783275996,-0.0010452674826632695,-0.011352463474891241,-0.002769565817352181,-0.031782236346540926
candelaria,2018-01-01,LC,-0.1075020784171365,0.12484307880738521,-0.1339876313661535,-0.08029931427580414,-0.039974606669840956,-0.33112887011306613,-0.03179876867539106,0.5238958332617841
candelaria,2018-07-01,LC,-0.1370382195718752,0.1075662595128086,-0.13522556865735733,-0.10997992961051327,-0.08861816776534817,-0.29964387921980923,0.025844770639916723,0.5334869396933384
