Mine,ForecastYear,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
pampa camarones,2032,7,1.995,3.643,1.944,3.365,3.643,0,Small,1,SmallMed
radomiro tomic,2026,1,264.98318043904095,295.298,236.77018043904093,290.09318043904096,295.298,3,Colossal,2,LargeColossal
radomiro tomic,2027,2,262.41118043904095,295.298,227.61818043904094,291.03118043904095,295.298,3,Colossal,2,LargeColossal
radomiro tomic,2028,3,264.24818043904094,295.298,226.18218043904096,289.96118043904096,295.298,3,Colossal,2,LargeColossal
radomiro tomic,2029,4,267.4071804390409,295.298,221.36018043904096,285.13518043904094,295.298,3,Colossal,2,LargeColossal
radomiro tomic,2030,5,269.941180439041,295.298,226.57018043904094,281.94318043904093,295.298,3,Colossal,2,LargeColossal
radomiro tomic,2031,6,270.6621804390409,295.298,217.40318043904097,280.03618043904095,295.298,3,Colossal,2,LargeColossal
radomiro tomic,2032,7,269.95618043904096,295.298,213.44918043904096,279.328180439041,295.298,3,Colossal,2,LargeColossal
salvador,2026,1,61.752978537029065,47.017,40.17397853702907,71.65597853702907,47.017,0,Small,2,SmallMed
salvador,2027,2,59.624978537029065,47.017,33.22197853702907,69.49697853702907,47.017,0,Small,2,SmallMed
salvador,2028,3,57.724978537029074,47.017,37.68597853702907,67.34697853702907,47.017,0,Small,2,SmallMed
salvador,2029,4,52.40597853702907,47.017,25.94597853702907,69.87597853702907,47.017,0,Small,2,SmallMed
salvador,2030,5,49.71197853702907,47.017,26.06197853702907,69.25697853702907,47.017,0,Small,2,SmallMed
salvador,2031,6,54.50297853702907,47.017,22.50697853702907,68.19897853702906,47.017,0,Small,2,SmallMed
salvador,2032,7,58.001978537029075,47.017,22.30997853702907,66.66497853702907,47.017,0,Small,2,SmallMed
sierra gorda,2026,1,196.5132577825299,165.313,182.5102577825299,222.03325778252992,165.313,2,Large,1,LargeColossal
sierra gorda,2027,2,193.5842577825299,165.313,180.6942577825299,220.5992577825299,165.313,2,Large,1,LargeColossal
sierra gorda,2028,3,185.27725778252992,165.313,179.14625778252991,216.9012577825299,165.313,2,Large,1,LargeColossal
sierra gorda,2029,4,185.3262577825299,165.313,177.3372577825299,213.29525778252992,165.313,2,Large,1,LargeColossal
sierra gorda,2030,5,180.9112577825299,165.313,169.9002577825299,209.5832577825299,165.313,2,Large,1,LargeColossal
sierra gorda,2031,6,178.1442577825299,165.313,164.1482577825299,207.4212577825299,165.313,2,Large,1,LargeColossal
sierra gorda,2032,7,174.85025778252992,165.313,162.3472577825299,207.0172577825299,165.313,2,Large,1,LargeColossal
tres valles,2026,1,0.0,1.811,0.0,0.0,1.811,0,Small,1,SmallMed
tres valles,2027,2,0.0,1.811,0.0,0.0,1.811,0,Small,1,SmallMed
tres valles,2028,3,0.0,1.811,0.0,0.0,1.811,0,Small,1,SmallMed
tres valles,2029,4,0.0,1.811,0.0,0.0,1.811,0,Small,1,SmallMed
tres valles,2030,5,0.0,1.811,0.0,0.0,1.811,0,Small,1,SmallMed
tres valles,2031,6,0.0,1.811,0.0,0.0,1.811,0,Small,1,SmallMed
tres valles,2032,7,0.0,1.811,0.0,0.0,1.811,0,Small,1,SmallMed
zaldivar,2026,1,83.72559239275175,75.362,64.50459239275175,88.04959239275175,75.362,2,Large,1,LargeColossal
zaldivar,2027,2,86.80459239275174,75.362,62.68159239275173,89.93159239275174,75.362,2,Large,1,LargeColossal
zaldivar,2028,3,91.14659239275174,75.362,62.87359239275174,96.44959239275174,75.362,2,Large,1,LargeColossal
zaldivar,2029,4,96.03659239275174,75.362,62.74859239275174,99.88459239275174,75.362,2,Large,1,LargeColossal
zaldivar,2030,5,94.27559239275175,75.362,62.95959239275174,105.25059239275174,75.362,2,Large,1,LargeColossal
zaldivar,2031,6,95.06059239275174,75.362,61.28759239275174,107.58659239275174,75.362,2,Large,1,LargeColossal
zaldivar,2032,7,96.93259239275174,75.362,59.71959239275174,109.30359239275174,75.362,2,Large,1,LargeColossal
