Stat,ML,a_ss,a_sl,a_lc,Combined_WR,SM_WR,SM_MAPE,LC_WR
RollingMean,LGB+RF,0.6,1.0,0.6,49.70059880239521,53.11572700296736,39.00257906098503,48.713550600343055
RollingMean,LGB+RF,0.7,0.7,0.6,49.9001996007984,54.00593471810089,37.881111870883316,48.713550600343055
RollingMean,LGB+RF,0.7,0.8,0.6,49.76713240186294,53.41246290801187,38.35225810403384,48.713550600343055
RollingMean,LGB+RF,0.7,0.9,0.6,49.50099800399202,52.22551928783383,38.83469476442391,48.713550600343055
RollingMean,LGB+RF,0.7,1.0,0.6,49.50099800399202,52.22551928783383,39.261810313389574,48.713550600343055
RollingMean,LGB+RF,0.8,0.8,0.6,49.56753160345975,52.52225519287834,38.56085878532072,48.713550600343055
RollingMean,LGB+RF,0.8,0.9,0.6,49.30139720558882,51.33531157270029,39.04329544571078,48.713550600343055
RollingMean,LGB+RF,0.8,1.0,0.6,49.30139720558882,51.33531157270029,39.470410994676456,48.713550600343055
RollingMean,RF+XGB,0.3,0.5,0.7,56.15435795076514,66.17210682492582,30.529528395216264,53.2590051457976
RollingMean,RF+XGB,0.3,0.6,0.7,56.22089155023287,66.46884272997032,30.447460821351108,53.2590051457976
RollingMean,RF+XGB,0.3,0.7,0.7,55.82168995342648,64.68842729970326,30.45979090309488,53.2590051457976
RollingMean,RF+XGB,0.3,0.8,0.7,55.68862275449102,64.09495548961425,30.656884342024235,53.2590051457976
RollingMean,RF+XGB,0.3,0.9,0.7,55.62208915502329,63.798219584569736,30.935864200186522,53.2590051457976
RollingMean,RF+XGB,0.3,1.0,0.7,55.62208915502329,63.798219584569736,31.32245331770863,53.2590051457976
RollingMean,RF+XGB,0.4,0.5,0.7,55.82168995342648,64.68842729970326,30.310566969560924,53.2590051457976
